
  ===============================
  ||         NFT Stats         ||
  ===============================

  - NFT Holders:
      > Early Voter (0x7B097A18738cA9Fd524384Dab74c57CB12DAC724):
        - 0x3b7631f8e3428deab77634bf799b622ce412e9ea (6 NFTs)
        - 0x655c4be67d1945cea0dcc175d0f6b40252e4fa66 (3 NFTs)
        - 0x55871c767d82d7e19053a60a9ae601ed21046f23 (2 NFTs)
        - 0xa4c661ed7ed369e18f4cd04b372a3dd5e36c0252 (1 NFT)
        - 0x7ee487a10631732a5dda1fc31c00f151e9f05289 (1 NFT)
        - 0x3a4e1b88ec23d1e3945691fa68fe8fe5c8cc1a45 (1 NFT)
        - 0xa512731e615bb6ad7e92f54631e9b57235631b1b (1 NFT)
        - 0xb3aeba7fc075debcd37bd6743f1dbc4ffd6babfa (1 NFT)
        - 0x3c44a3153e2ec4beab4c54ddb4598047f896b311 (1 NFT)
        - 0x16024f29265a330335a3b6a1b5c786bda07f9e4c (1 NFT)
        - 0x4c6fdfc2c0a7edec098a51681a69d70c994ed732 (1 NFT)
        - 0x6c2e73d510d9df0b154bb8a0abca71d2ceb27883 (1 NFT)
        - 0x46774553bb668c8ac854aa4db5706f5c06fa7486 (1 NFT)
        - 0x36e69e981102f778d0951fa6a77cfa678b18399e (1 NFT)
        - 0xdd30c4d82fc7e9f9ca1481f84c7f35c010393d32 (1 NFT)
        - 0x12fa6d63858176475d5a60845b8ca7ded04fd274 (1 NFT)
        - 0x59a0e25d531afa328a35063d3a07e27cc3477102 (1 NFT)
        - 0x6c7bdd8be7d666fbd3a0474f1079c78e1346347f (1 NFT)
        - 0x0cc2c22a9d3ab3bbbb01e9771d79c9f73ac6e3f2 (1 NFT)
        - 0x0342bf051724c2697362a3b947e170b4bea63299 (1 NFT)
        - 0x1aa5abfd850012297428b509fb84fcd9f9f995cb (1 NFT)
        - 0x4281eb38f66be4cdbc43030af01bb722b787a2a6 (1 NFT)
        - 0x521132b03f60cbed3a08460e09a2b1b20138fc3b (1 NFT)
        - 0xdbc195a0ed72c0b059f8906e97a90636d2b6409f (1 NFT)
        - 0x0860a74847ec4f3e1dc0cfbab41013eb90f69654 (1 NFT)
        - 0xde0aef70a7ae324045b7722c903aaaec2ac175f5 (1 NFT)
        - 0x027f0958add7565afcd65056ebb78b3a58988917 (1 NFT)
        - 0x9b921fad875b06183d3992a125026c89915d71f6 (1 NFT)
        - 0xedb28058c696a3bccaf205e9b30f57bddbc95089 (1 NFT)
        - 0x036dc0ed1779ee2f01cc712eaa82a0073e0dea50 (1 NFT)
        - 0x3ea9dd246531cdb4586640f73f6f56037af328f1 (1 NFT)
        - 0xe4652389689f3802fa2aa55f6a2be2e79f88ac18 (1 NFT)
        - 0x6777529d538c57d6cc6d46da4610758245470dab (1 NFT)
        - 0x0a40f77cd719388c20e014d6cf8717cc1ef70662 (1 NFT)
        - 0xe2122273ba002ce54550f766c26ea0ab1c382909 (1 NFT)
        - 0x590084ff305a6ffd021153a19ab6065ca019e424 (1 NFT)
        - 0xc7c955514a80ae7682199af0d499c61ed9aaeb44 (1 NFT)
        - 0x24266b04b3c96b1bab4704f7c59be7123bcd2b70 (1 NFT)
